TXNAME	GENEID
lcl|BK006938.2_mrna_1420	YDR446W
lcl|BK006938.2_mrna_1421	YDR447C
lcl|BK006938.2_mrna_1422	YDR448W
lcl|BK006938.2_mrna_1423	YDR449C
lcl|BK006938.2_mrna_1424	YDR450W
lcl|BK006938.2_mrna_1425	YDR451C
lcl|BK006938.2_mrna_1426	YDR452W
lcl|BK006938.2_mrna_1427	YDR453C
lcl|BK006938.2_mrna_1428	YDR454C
lcl|BK006938.2_mrna_1429	YDR456W
lcl|BK006938.2_mrna_1430	YDR457W
lcl|BK006938.2_mrna_1431	YDR458C
lcl|BK006938.2_mrna_1432	YDR459C
lcl|BK006938.2_mrna_1433	YDR460W
lcl|BK006938.2_mrna_1434	YDR461W
lcl|BK006938.2_mrna_1435	YDR461C-A
lcl|BK006938.2_mrna_1436	YDR462W
lcl|BK006938.2_mrna_1437	YDR463W
lcl|BK006938.2_mrna_1438	YDR464W
lcl|BK006938.2_mrna_1439	YDR465C
lcl|BK006938.2_mrna_1440	YDR466W
lcl|BK006938.2_mrna_1441	YDR468C
lcl|BK006938.2_mrna_1442	YDR469W
lcl|BK006938.2_mrna_1443	YDR470C
lcl|BK006938.2_mrna_1444	YDR471W
lcl|BK006938.2_ncrna_1445	snR13
lcl|BK006938.2_mrna_1446	YDR472W
lcl|BK006938.2_mrna_1447	YDR473C
lcl|BK006938.2_mrna_1448	YDR475C
lcl|BK006938.2_mrna_1449	YDR476C
lcl|BK006938.2_mrna_1450	YDR477W
lcl|BK006938.2_mrna_1451	YDR478W
lcl|BK006938.2_mrna_1452	YDR479C
lcl|BK006938.2_mrna_1453	YDR480W
lcl|BK006938.2_mrna_1454	YDR481C
lcl|BK006938.2_mrna_1455	YDR482C
lcl|BK006938.2_mrna_1456	YDR483W
lcl|BK006938.2_mrna_1457	YDR484W
lcl|BK006938.2_mrna_1458	YDR485C
lcl|BK006938.2_mrna_1459	YDR486C
lcl|BK006938.2_mrna_1460	YDR487C
lcl|BK006938.2_mrna_1461	YDR488C
lcl|BK006938.2_mrna_1462	YDR489W
lcl|BK006938.2_mrna_1463	YDR490C
lcl|BK006938.2_mrna_1464	YDR492W
lcl|BK006938.2_mrna_1465	YDR493W
lcl|BK006938.2_mrna_1466	YDR494W
lcl|BK006938.2_mrna_1467	YDR495C
lcl|BK006938.2_mrna_1468	YDR496C
lcl|BK006938.2_mrna_1469	YDR497C
lcl|BK006938.2_mrna_1470	YDR498C
lcl|BK006938.2_mrna_1471	YDR499W
lcl|BK006938.2_mrna_1472	YDR500C
lcl|BK006938.2_mrna_1473	YDR501W
lcl|BK006938.2_mrna_1474	YDR502C
lcl|BK006938.2_mrna_1475	YDR503C
lcl|BK006938.2_mrna_1476	YDR504C
lcl|BK006938.2_mrna_1477	YDR505C
lcl|BK006938.2_mrna_1478	YDR506C
lcl|BK006938.2_trna_1479	tL(CAA)D
lcl|BK006938.2_mrna_1480	YDR507C
lcl|BK006938.2_mrna_1481	YDR508C
lcl|BK006938.2_mrna_1482	YDR510W
lcl|BK006938.2_mrna_1483	YDR511W
lcl|BK006938.2_mrna_1484	YDR512C
lcl|BK006938.2_mrna_1485	YDR513W
lcl|BK006938.2_mrna_1486	YDR514C
lcl|BK006938.2_mrna_1487	YDR515W
lcl|BK006938.2_mrna_1488	YDR516C
lcl|BK006938.2_mrna_1489	YDR517W
lcl|BK006938.2_mrna_1490	YDR518W
lcl|BK006938.2_mrna_1491	YDR519W
lcl|BK006938.2_mrna_1492	YDR520C
lcl|BK006938.2_mrna_1493	YDR522C
lcl|BK006938.2_mrna_1494	YDR523C
lcl|BK006938.2_mrna_1495	YDR524C
lcl|BK006938.2_mrna_1496	YDR524W-C
lcl|BK006938.2_mrna_1497	YDR524C-B
lcl|BK006938.2_mrna_1498	YDR525W
lcl|BK006938.2_mrna_1499	YDR525W-A
lcl|BK006938.2_mrna_1500	YDR527W
lcl|BK006938.2_ncrna_1501	snR84
lcl|BK006938.2_mrna_1502	YDR528W
lcl|BK006938.2_mrna_1503	YDR529C
lcl|BK006938.2_mrna_1504	YDR530C
lcl|BK006938.2_mrna_1505	YDR531W
lcl|BK006938.2_mrna_1506	YDR532C
lcl|BK006938.2_mrna_1507	YDR533C
lcl|BK006938.2_mrna_1508	YDR534C
lcl|BK006938.2_mrna_1509	YDR536W
lcl|BK006938.2_mrna_1510	YDR538W
lcl|BK006938.2_mrna_1511	YDR539W
lcl|BK006938.2_mrna_1512	YDR540C
lcl|BK006938.2_mrna_1513	YDR541C
lcl|BK006938.2_mrna_1514	YDR542W
lcl|BK006938.2_mrna_1515	YDR545W
lcl|BK006939.2_mrna_1516	YEL077C
lcl|BK006939.2_mrna_1517	YEL076C-A
lcl|BK006939.2_mrna_1518	YEL076C
lcl|BK006939.2_mrna_1519	YEL075C
lcl|BK006939.2_mrna_1520	YEL073C
lcl|BK006939.2_mrna_1521	YEL072W
lcl|BK006939.2_mrna_1522	YEL071W
lcl|BK006939.2_mrna_1523	YEL070W
lcl|BK006939.2_mrna_1524	YEL069C
lcl|BK006939.2_mrna_1525	YEL068C
lcl|BK006939.2_mrna_1526	YEL067C
lcl|BK006939.2_mrna_1527	YEL066W
lcl|BK006939.2_mrna_1528	YEL065W
lcl|BK006939.2_mrna_1529	YEL064C
lcl|BK006939.2_mrna_1530	YEL063C
lcl|BK006939.2_mrna_1531	YEL062W
lcl|BK006939.2_mrna_1532	YEL061C
lcl|BK006939.2_mrna_1533	YEL060C
lcl|BK006939.2_mrna_1534	YEL059C-A
lcl|BK006939.2_mrna_1535	YEL058W
lcl|BK006939.2_mrna_1536	YEL057C
lcl|BK006939.2_mrna_1537	YEL056W
lcl|BK006939.2_mrna_1538	YEL055C
lcl|BK006939.2_ncrna_1539	snR80
lcl|BK006939.2_mrna_1540	YEL054C
lcl|BK006939.2_mrna_1541	YEL053C
lcl|BK006939.2_mrna_1542	YEL052W
lcl|BK006939.2_mrna_1543	YEL051W
lcl|BK006939.2_mrna_1544	YEL050C
lcl|BK006939.2_ncrna_1545	snR67
lcl|BK006939.2_ncrna_1546	snR53
lcl|BK006939.2_trna_1547	tG(GCC)E
lcl|BK006939.2_mrna_1548	YEL049W
lcl|BK006939.2_mrna_1549	YEL048C
lcl|BK006939.2_mrna_1550	YEL047C
lcl|BK006939.2_mrna_1551	YEL046C
lcl|BK006939.2_mrna_1552	YEL044W
lcl|BK006939.2_mrna_1553	YEL043W
lcl|BK006939.2_mrna_1554	YEL042W
lcl|BK006939.2_mrna_1555	YEL041W
lcl|BK006939.2_mrna_1556	YEL040W
lcl|BK006939.2_mrna_1557	YEL039C
lcl|BK006939.2_mrna_1558	YEL038W
lcl|BK006939.2_mrna_1559	YEL037C
lcl|BK006939.2_mrna_1560	YEL036C
lcl|BK006939.2_mrna_1561	YEL035C
lcl|BK006939.2_mrna_1562	YEL034W
lcl|BK006939.2_mrna_1563	YEL033W
lcl|BK006939.2_trna_1564	tS(AGA)E
lcl|BK006939.2_mrna_1565	YEL032W
lcl|BK006939.2_mrna_1566	YEL031W
lcl|BK006939.2_mrna_1567	YEL030W
lcl|BK006939.2_mrna_1568	YEL029C
lcl|BK006939.2_mrna_1569	YEL028W
lcl|BK006939.2_trna_1570	tM(CAU)E
lcl|BK006939.2_mrna_1571	YEL027W
lcl|BK006939.2_mrna_1572	YEL026W
lcl|BK006939.2_mrna_1573	YEL025C
lcl|BK006939.2_mrna_1574	YEL024W
lcl|BK006939.2_mrna_1575	YEL023C
lcl|BK006939.2_mrna_1576	YEL022W
lcl|BK006939.2_mrna_1577	YEL021W
lcl|BK006939.2_mrna_1578	YEL020W-A
lcl|BK006939.2_ncrna_1579	RPR1
lcl|BK006939.2_mrna_1580	YEL020C
lcl|BK006939.2_mrna_1581	YEL019C
lcl|BK006939.2_mrna_1582	YEL018W
lcl|BK006939.2_mrna_1583	YEL017C-A
lcl|BK006939.2_mrna_1584	YEL017W
lcl|BK006939.2_mrna_1585	YEL016C
lcl|BK006939.2_mrna_1586	YEL015W
lcl|BK006939.2_mrna_1587	YEL014C
lcl|BK006939.2_mrna_1588	YEL013W
lcl|BK006939.2_trna_1589	tQ(UUG)E2
lcl|BK006939.2_mrna_1590	YEL012W
lcl|BK006939.2_mrna_1591	YEL011W
lcl|BK006939.2_trna_1592	tK(CUU)E1
lcl|BK006939.2_mrna_1593	YEL009C-A
lcl|BK006939.2_trna_1594	tR(UCU)E
lcl|BK006939.2_mrna_1595	YEL009C
lcl|BK006939.2_mrna_1596	YEL008W
lcl|BK006939.2_mrna_1597	YEL007W
lcl|BK006939.2_mrna_1598	YEL006W
lcl|BK006939.2_mrna_1599	YEL005C
lcl|BK006939.2_mrna_1600	YEL004W
lcl|BK006939.2_mrna_1601	YEL003W
lcl|BK006939.2_mrna_1602	YEL002C
lcl|BK006939.2_mrna_1603	YEL001C
lcl|BK006939.2_mrna_1604	YER001W
lcl|BK006939.2_mrna_1605	YER002W
lcl|BK006939.2_mrna_1606	YER003C
lcl|BK006939.2_mrna_1607	YER004W
lcl|BK006939.2_mrna_1608	YER005W
lcl|BK006939.2_mrna_1609	YER006W
lcl|BK006939.2_mrna_1610	YER007W
lcl|BK006939.2_mrna_1611	YER007C-A
lcl|BK006939.2_ncrna_1612	snR14
lcl|BK006939.2_mrna_1613	YER008C
lcl|BK006939.2_mrna_1614	YER009W
lcl|BK006939.2_mrna_1615	YER010C
lcl|BK006939.2_mrna_1616	YER011W
lcl|BK006939.2_trna_1617	tE(UUC)E1
lcl|BK006939.2_mrna_1618	YER012W
lcl|BK006939.2_mrna_1619	YER013W
lcl|BK006939.2_mrna_1620	YER014W
lcl|BK006939.2_mrna_1621	YER014C-A
lcl|BK006939.2_mrna_1622	YER015W
lcl|BK006939.2_mrna_1623	YER016W
lcl|BK006939.2_mrna_1624	YER017C
lcl|BK006939.2_mrna_1625	YER018C
lcl|BK006939.2_mrna_1626	YER019W
lcl|BK006939.2_mrna_1627	YER019C-A
lcl|BK006939.2_mrna_1628	YER020W
lcl|BK006939.2_mrna_1629	YER021W
lcl|BK006939.2_mrna_1630	YER022W
lcl|BK006939.2_mrna_1631	YER023W
lcl|BK006939.2_mrna_1632	YER024W
lcl|BK006939.2_mrna_1633	YER025W
lcl|BK006939.2_trna_1634	tH(GUG)E1
lcl|BK006939.2_mrna_1635	YER026C
lcl|BK006939.2_mrna_1636	YER027C
lcl|BK006939.2_mrna_1637	YER028C
lcl|BK006939.2_mrna_1638	YER029C
lcl|BK006939.2_mrna_1639	YER030W
lcl|BK006939.2_mrna_1640	YER031C
lcl|BK006939.2_mrna_1641	YER032W
lcl|BK006939.2_mrna_1642	YER033C
lcl|BK006939.2_mrna_1643	YER034W
lcl|BK006939.2_mrna_1644	YER035W
lcl|BK006939.2_mrna_1645	YER036C
lcl|BK006939.2_mrna_1646	YER037W
lcl|BK006939.2_mrna_1647	YER038C
lcl|BK006939.2_mrna_1648	YER038W-A
lcl|BK006939.2_mrna_1649	YER039C
lcl|BK006939.2_mrna_1650	YER039C-A
lcl|BK006939.2_mrna_1651	YER040W
lcl|BK006939.2_mrna_1652	YER041W
lcl|BK006939.2_mrna_1653	YER042W
lcl|BK006939.2_mrna_1654	YER043C
lcl|BK006939.2_mrna_1655	YER044C
lcl|BK006939.2_mrna_1656	YER044C-A
lcl|BK006939.2_mrna_1657	YER045C
lcl|BK006939.2_mrna_1658	YER046W
lcl|BK006939.2_mrna_1659	YER047C
lcl|BK006939.2_mrna_1660	YER048C
lcl|BK006939.2_trna_1661	tQ(UUG)E1
lcl|BK006939.2_mrna_1662	YER048W-A
lcl|BK006939.2_mrna_1663	YER049W
lcl|BK006939.2_mrna_1664	YER050C
lcl|BK006939.2_mrna_1665	YER051W
lcl|BK006939.2_mrna_1666	YER052C
lcl|BK006939.2_mrna_1667	YER053C
lcl|BK006939.2_mrna_1668	YER053C-A
lcl|BK006939.2_mrna_1669	YER054C
lcl|BK006939.2_mrna_1670	YER055C
lcl|BK006939.2_mrna_1671	YER056C
lcl|BK006939.2_mrna_1672	YER056C-A
lcl|BK006939.2_mrna_1673	YER057C
lcl|BK006939.2_mrna_1674	YER058W
lcl|BK006939.2_mrna_1675	YER059W
lcl|BK006939.2_mrna_1676	YER060W
lcl|BK006939.2_mrna_1677	YER060W-A
lcl|BK006939.2_mrna_1678	YER061C
lcl|BK006939.2_mrna_1679	YER062C
lcl|BK006939.2_mrna_1680	YER063W
lcl|BK006939.2_mrna_1681	YER064C
lcl|BK006939.2_mrna_1682	YER065C
lcl|BK006939.2_trna_1683	tS(UGA)E
lcl|BK006939.2_mrna_1684	YER066W
lcl|BK006939.2_mrna_1685	YER067W
lcl|BK006939.2_mrna_1686	YER068W
lcl|BK006939.2_mrna_1687	YER069W
lcl|BK006939.2_mrna_1688	YER070W
lcl|BK006939.2_mrna_1689	YER071C
lcl|BK006939.2_mrna_1690	YER072W
lcl|BK006939.2_mrna_1691	YER073W
lcl|BK006939.2_mrna_1692	YER074W
lcl|BK006939.2_mrna_1693	YER074W-A
lcl|BK006939.2_mrna_1694	YER075C
lcl|BK006939.2_trna_1695	tA(UGC)E
lcl|BK006939.2_mrna_1696	YER076C
lcl|BK006939.2_mrna_1697	YER077C
lcl|BK006939.2_mrna_1698	YER078C
lcl|BK006939.2_mrna_1699	YER078W-A
lcl|BK006939.2_mrna_1700	YER079W
lcl|BK006939.2_mrna_1701	YER080W
lcl|BK006939.2_ncrna_1702	SRG1
lcl|BK006939.2_mrna_1703	YER081W
lcl|BK006939.2_mrna_1704	YER082C
lcl|BK006939.2_mrna_1705	YER083C
lcl|BK006939.2_mrna_1706	YER084W
lcl|BK006939.2_mrna_1707	YER085C
lcl|BK006939.2_mrna_1708	YER086W
lcl|BK006939.2_mrna_1709	YER087W
lcl|BK006939.2_mrna_1710	YER087C-B
lcl|BK006939.2_mrna_1711	YER088C
lcl|BK006939.2_mrna_1712	YER089C
lcl|BK006939.2_mrna_1713	YER090W
lcl|BK006939.2_mrna_1714	YER091C
lcl|BK006939.2_mrna_1715	YER092W
lcl|BK006939.2_mrna_1716	YER093C
lcl|BK006939.2_mrna_1717	YER093C-A
lcl|BK006939.2_mrna_1718	YER094C
lcl|BK006939.2_mrna_1719	YER095W
lcl|BK006939.2_mrna_1720	YER096W
lcl|BK006939.2_trna_1721	tE(UUC)E2
lcl|BK006939.2_mrna_1722	YER098W
lcl|BK006939.2_mrna_1723	YER099C
lcl|BK006939.2_mrna_1724	YER100W
lcl|BK006939.2_mrna_1725	YER101C
lcl|BK006939.2_mrna_1726	YER102W
lcl|BK006939.2_mrna_1727	YER103W
lcl|BK006939.2_mrna_1728	YER104W
lcl|BK006939.2_mrna_1729	YER105C
lcl|BK006939.2_mrna_1730	YER106W
lcl|BK006939.2_mrna_1731	YER107C
lcl|BK006939.2_mrna_1732	YER110C
lcl|BK006939.2_mrna_1733	YER111C
lcl|BK006939.2_mrna_1734	YER112W
lcl|BK006939.2_mrna_1735	YER113C
lcl|BK006939.2_mrna_1736	YER114C
lcl|BK006939.2_mrna_1737	YER115C
lcl|BK006939.2_mrna_1738	YER116C
lcl|BK006939.2_mrna_1739	YER117W
lcl|BK006939.2_mrna_1740	YER118C
lcl|BK006939.2_mrna_1741	YER119C
lcl|BK006939.2_mrna_1742	YER120W
lcl|BK006939.2_mrna_1743	YER121W
lcl|BK006939.2_mrna_1744	YER122C
lcl|BK006939.2_mrna_1745	YER123W
lcl|BK006939.2_mrna_1746	YER124C
lcl|BK006939.2_mrna_1747	YER125W
lcl|BK006939.2_mrna_1748	YER126C
lcl|BK006939.2_mrna_1749	YER127W
lcl|BK006939.2_mrna_1750	YER128W
lcl|BK006939.2_mrna_1751	YER129W
lcl|BK006939.2_mrna_1752	YER130C
lcl|BK006939.2_mrna_1753	YER131W
lcl|BK006939.2_ncrna_1754	snR4
lcl|BK006939.2_mrna_1755	YER132C
lcl|BK006939.2_ncrna_1756	snR52
lcl|BK006939.2_mrna_1757	YER133W
lcl|BK006939.2_trna_1758	tH(GUG)E2
lcl|BK006939.2_trna_1759	tK(CUU)E2
lcl|BK006939.2_mrna_1760	YER134C
lcl|BK006939.2_mrna_1761	YER135C
lcl|BK006939.2_trna_1762	tV(AAC)E1
lcl|BK006939.2_mrna_1763	YER136W
lcl|BK006939.2_mrna_1764	YER137C
lcl|BK006939.2_ncrna_1765	SCR1
lcl|BK006939.2_trna_1766	tI(AAU)E1
lcl|BK006939.2_mrna_1767	YER138C
lcl|BK006939.2_mrna_1768	YER137C-A
lcl|BK006939.2_mrna_1769	YER138W-A
lcl|BK006939.2_mrna_1770	YER139C
lcl|BK006939.2_mrna_1771	YER140W
lcl|BK006939.2_mrna_1772	YER141W
lcl|BK006939.2_mrna_1773	YER142C
lcl|BK006939.2_mrna_1774	YER143W
lcl|BK006939.2_mrna_1775	YER144C
lcl|BK006939.2_mrna_1776	YER145C
lcl|BK006939.2_mrna_1777	YER145C-A
lcl|BK006939.2_mrna_1778	YER146W
lcl|BK006939.2_mrna_1779	YER147C
lcl|BK006939.2_mrna_1780	YER148W
lcl|BK006939.2_mrna_1781	YER149C
lcl|BK006939.2_mrna_1782	YER150W
lcl|BK006939.2_trna_1783	tV(AAC)E2
lcl|BK006939.2_mrna_1784	YER151C
lcl|BK006939.2_mrna_1785	YER152C
lcl|BK006939.2_mrna_1786	YER153C
lcl|BK006939.2_mrna_1787	YER154W
lcl|BK006939.2_mrna_1788	YER155C
lcl|BK006939.2_mrna_1789	YER156C
lcl|BK006939.2_mrna_1790	YER157W
lcl|BK006939.2_trna_1791	tE(UUC)E3
lcl|BK006939.2_mrna_1792	YER158C
lcl|BK006939.2_mrna_1793	YER159C
lcl|BK006939.2_trna_1794	tR(ACG)E
lcl|BK006939.2_mrna_1795	YER160C
lcl|BK006939.2_mrna_1796	YER159C-A
lcl|BK006939.2_mrna_1797	YER161C
lcl|BK006939.2_mrna_1798	YER162C
lcl|BK006939.2_mrna_1799	YER163C
lcl|BK006939.2_mrna_1800	YER164W
lcl|BK006939.2_mrna_1801	YER165W
lcl|BK006939.2_mrna_1802	YER166W
lcl|BK006939.2_mrna_1803	YER167W
lcl|BK006939.2_mrna_1804	YER168C
lcl|BK006939.2_mrna_1805	YER169W
lcl|BK006939.2_mrna_1806	YER170W
lcl|BK006939.2_mrna_1807	YER171W
lcl|BK006939.2_mrna_1808	YER172C
lcl|BK006939.2_mrna_1809	YER173W
lcl|BK006939.2_mrna_1810	YER174C
lcl|BK006939.2_mrna_1811	YER175C
lcl|BK006939.2_mrna_1812	YER175W-A
lcl|BK006939.2_mrna_1813	YER176W
lcl|BK006939.2_mrna_1814	YER177W
lcl|BK006939.2_mrna_1815	YER178W
lcl|BK006939.2_mrna_1816	YER179W
lcl|BK006939.2_mrna_1817	YER180C
lcl|BK006939.2_mrna_1818	YER180C-A
lcl|BK006939.2_trna_1819	tI(AAU)E2
lcl|BK006939.2_mrna_1820	YER181C
lcl|BK006939.2_mrna_1821	YER182W
lcl|BK006939.2_mrna_1822	YER183C
lcl|BK006939.2_mrna_1823	YER184C
lcl|BK006939.2_mrna_1824	YER185W
lcl|BK006939.2_mrna_1825	YER186C
lcl|BK006939.2_mrna_1826	YER187W
lcl|BK006939.2_mrna_1827	YER188W
lcl|BK006939.2_mrna_1828	YER188C-A
lcl|BK006939.2_mrna_1829	YER189W
lcl|BK006939.2_mrna_1830	YER190W
lcl|BK006939.2_mrna_1831	YER190C-B
lcl|BK006940.2_mrna_1832	YFL068W
lcl|BK006940.2_mrna_1833	YFL067W
lcl|BK006940.2_mrna_1834	YFL066C
lcl|BK006940.2_mrna_1835	YFL065C
lcl|BK006940.2_mrna_1836	YFL064C
lcl|BK006940.2_mrna_1837	YFL062W
lcl|BK006940.2_mrna_1838	YFL061W
lcl|BK006940.2_mrna_1839	YFL060C
lcl|BK006940.2_mrna_1840	YFL059W
lcl|BK006940.2_mrna_1841	YFL058W
lcl|BK006940.2_mrna_1842	YFL056C
lcl|BK006940.2_mrna_1843	YFL055W
lcl|BK006940.2_mrna_1844	YFL054C
lcl|BK006940.2_mrna_1845	YFL053W
lcl|BK006940.2_mrna_1846	YFL052W
lcl|BK006940.2_mrna_1847	YFL051C
lcl|BK006940.2_mrna_1848	YFL050C
lcl|BK006940.2_mrna_1849	YFL049W
lcl|BK006940.2_mrna_1850	YFL048C
lcl|BK006940.2_mrna_1851	YFL047W
lcl|BK006940.2_mrna_1852	YFL046W
lcl|BK006940.2_mrna_1853	YFL045C
lcl|BK006940.2_mrna_1854	YFL044C
lcl|BK006940.2_mrna_1855	YFL042C
lcl|BK006940.2_mrna_1856	YFL041W-A
lcl|BK006940.2_mrna_1857	YFL041W
lcl|BK006940.2_mrna_1858	YFL040W
lcl|BK006940.2_mrna_1859	YFL039C
lcl|BK006940.2_mrna_1860	YFL038C
lcl|BK006940.2_mrna_1861	YFL037W
lcl|BK006940.2_ncrna_1862	RUF21
lcl|BK006940.2_mrna_1863	YFL036W
lcl|BK006940.2_mrna_1864	YFL034C-B
lcl|BK006940.2_mrna_1865	YFL034C-A
lcl|BK006940.2_mrna_1866	YFL034W
lcl|BK006940.2_mrna_1867	YFL033C
lcl|BK006940.2_mrna_1868	YFL031W
lcl|BK006940.2_mrna_1869	YFL030W
lcl|BK006940.2_mrna_1870	YFL029C
lcl|BK006940.2_mrna_1871	YFL028C
lcl|BK006940.2_mrna_1872	YFL027C
lcl|BK006940.2_mrna_1873	YFL026W
lcl|BK006940.2_mrna_1874	YFL025C
lcl|BK006940.2_mrna_1875	YFL024C
lcl|BK006940.2_mrna_1876	YFL023W
lcl|BK006940.2_mrna_1877	YFL022C
lcl|BK006940.2_mrna_1878	YFL021W
lcl|BK006940.2_mrna_1879	YFL020C
lcl|BK006940.2_mrna_1880	YFL019C
lcl|BK006940.2_trna_1881	tP(UGG)F
lcl|BK006940.2_mrna_1882	YFL018C
lcl|BK006940.2_mrna_1883	YFL017W-A
lcl|BK006940.2_mrna_1884	YFL017C
lcl|BK006940.2_mrna_1885	YFL016C
lcl|BK006940.2_mrna_1886	YFL015C
lcl|BK006940.2_mrna_1887	YFL014W
lcl|BK006940.2_mrna_1888	YFL013C
lcl|BK006940.2_mrna_1889	YFL012W
lcl|BK006940.2_mrna_1890	YFL011W
lcl|BK006940.2_mrna_1891	YFL010W-A
lcl|BK006940.2_mrna_1892	YFL010C
lcl|BK006940.2_mrna_1893	YFL009W
lcl|BK006940.2_mrna_1894	YFL008W
lcl|BK006940.2_mrna_1895	YFL007W
lcl|BK006940.2_mrna_1896	YFL005W
lcl|BK006940.2_ncrna_1897	RUF20
lcl|BK006940.2_mrna_1898	YFL004W
lcl|BK006940.2_mrna_1899	YFL003C
lcl|BK006940.2_trna_1900	tN(GUU)F
lcl|BK006940.2_mrna_1901	YFL002W-A
lcl|BK006940.2_mrna_1902	YFL002W-B
lcl|BK006940.2_mrna_1903	YFL002C
lcl|BK006940.2_mrna_1904	YFL001W
lcl|BK006940.2_mrna_1905	YFR001W
lcl|BK006940.2_mrna_1906	YFR002W
lcl|BK006940.2_mrna_1907	YFR003C
lcl|BK006940.2_mrna_1908	YFR004W
lcl|BK006940.2_mrna_1909	YFR005C
lcl|BK006940.2_mrna_1910	YFR006W
lcl|BK006940.2_trna_1911	tF(GAA)F
lcl|BK006940.2_mrna_1912	YFR007W
lcl|BK006940.2_mrna_1913	YFR008W
lcl|BK006940.2_trna_1914	tG(GCC)F1
lcl|BK006940.2_mrna_1915	YFR009W
lcl|BK006940.2_mrna_1916	YFR010W
lcl|BK006940.2_mrna_1917	YFR011C
lcl|BK006940.2_trna_1918	tY(GUA)F1
lcl|BK006940.2_mrna_1919	YFR012W
lcl|BK006940.2_mrna_1920	YFR012W-A
lcl|BK006940.2_mrna_1921	YFR013W
lcl|BK006940.2_mrna_1922	YFR014C
lcl|BK006940.2_mrna_1923	YFR015C
lcl|BK006940.2_mrna_1924	YFR016C
lcl|BK006940.2_trna_1925	tG(GCC)F2
lcl|BK006940.2_mrna_1926	YFR017C
lcl|BK006940.2_mrna_1927	YFR018C
lcl|BK006940.2_mrna_1928	YFR019W
lcl|BK006940.2_trna_1929	tS(GCU)F
lcl|BK006940.2_mrna_1930	YFR020W
lcl|BK006940.2_mrna_1931	YFR021W
lcl|BK006940.2_mrna_1932	YFR022W
lcl|BK006940.2_ncrna_1933	RUF22
lcl|BK006940.2_mrna_1934	YFR023W
lcl|BK006940.2_mrna_1935	YFR024C-A
lcl|BK006940.2_mrna_1936	YFR025C
lcl|BK006940.2_trna_1937	tA(AGC)F
lcl|BK006940.2_mrna_1938	YFR026C
lcl|BK006940.2_mrna_1939	YFR027W
lcl|BK006940.2_mrna_1940	YFR028C
lcl|BK006940.2_trna_1941	tY(GUA)F2
lcl|BK006940.2_mrna_1942	YFR029W
lcl|BK006940.2_mrna_1943	YFR030W
lcl|BK006940.2_mrna_1944	YFR031C
lcl|BK006940.2_mrna_1945	YFR031C-A
lcl|BK006940.2_ncrna_1946	RUF23
lcl|BK006940.2_mrna_1947	YFR032C
lcl|BK006940.2_mrna_1948	YFR032C-A
lcl|BK006940.2_mrna_1949	YFR032C-B
lcl|BK006940.2_mrna_1950	YFR033C
lcl|BK006940.2_mrna_1951	YFR034C
lcl|BK006940.2_mrna_1952	YFR035C
lcl|BK006940.2_trna_1953	tK(CUU)F
lcl|BK006940.2_mrna_1954	YFR036W
lcl|BK006940.2_mrna_1955	YFR037C
lcl|BK006940.2_mrna_1956	YFR038W
lcl|BK006940.2_mrna_1957	YFR039C
lcl|BK006940.2_mrna_1958	YFR040W
lcl|BK006940.2_mrna_1959	YFR041C
lcl|BK006940.2_mrna_1960	YFR042W
lcl|BK006940.2_mrna_1961	YFR043C
lcl|BK006940.2_mrna_1962	YFR044C
lcl|BK006940.2_mrna_1963	YFR045W
lcl|BK006940.2_mrna_1964	YFR046C
lcl|BK006940.2_mrna_1965	YFR047C
lcl|BK006940.2_mrna_1966	YFR048W
lcl|BK006940.2_mrna_1967	YFR049W
lcl|BK006940.2_mrna_1968	YFR050C
lcl|BK006940.2_mrna_1969	YFR051C
lcl|BK006940.2_mrna_1970	YFR052W
lcl|BK006940.2_mrna_1971	YFR053C
lcl|BK006940.2_mrna_1972	YFR054C
lcl|BK006940.2_mrna_1973	YFR055W
lcl|BK006940.2_mrna_1974	YFR057W
lcl|BK006941.2_mrna_1975	YGL263W
lcl|BK006941.2_mrna_1976	YGL262W
lcl|BK006941.2_mrna_1977	YGL261C
lcl|BK006941.2_mrna_1978	YGL260W
lcl|BK006941.2_mrna_1979	YGL259W
lcl|BK006941.2_mrna_1980	YGL258W-A
lcl|BK006941.2_mrna_1981	YGL258W
lcl|BK006941.2_mrna_1982	YGL257C
lcl|BK006941.2_mrna_1983	YGL256W
lcl|BK006941.2_mrna_1984	YGL255W
lcl|BK006941.2_mrna_1985	YGL254W
lcl|BK006941.2_mrna_1986	YGL253W
lcl|BK006941.2_mrna_1987	YGL252C
lcl|BK006941.2_mrna_1988	YGL251C
lcl|BK006941.2_mrna_1989	YGL250W
lcl|BK006941.2_mrna_1990	YGL249W
lcl|BK006941.2_ncrna_1991	RME3
lcl|BK006941.2_mrna_1992	YGL248W
lcl|BK006941.2_mrna_1993	YGL247W
lcl|BK006941.2_mrna_1994	YGL246C
lcl|BK006941.2_mrna_1995	YGL245W
lcl|BK006941.2_mrna_1996	YGL244W
lcl|BK006941.2_mrna_1997	YGL243W
lcl|BK006941.2_mrna_1998	YGL242C
lcl|BK006941.2_mrna_1999	YGL241W
lcl|BK006941.2_mrna_2000	YGL240W
lcl|BK006941.2_mrna_2001	YGL238W
lcl|BK006941.2_mrna_2002	YGL237C
lcl|BK006941.2_mrna_2003	YGL236C
